Service,Quick Note
IAM (Identity and Access Management),"Manage users, groups, roles, and permissions; enforce least privilege and secure access to AWS resources."
EC2 (Elastic Compute Cloud),"Launch virtual servers (“instances”) in the cloud, providing scalable compute capacity."
EBS (Elastic Block Store),Persistent block-level storage volumes for use with EC2 instances; data persists even after instance termination.
EFS (Elastic File System),"Scalable, elastic, shared file storage for Linux instances, accessible across multiple AZs."
Amazon FSx,"Family of fully-managed third-party file systems (e.g., Windows File Server, Lustre, NetApp ONTAP) for specialized workloads."
ELB (Elastic Load Balancing),Distribute traffic across multiple EC2 instances (or containers); improves fault tolerance and scalability.
ASG (Auto Scaling Group),Automatically adjusts the number of EC2 instances to handle variable workloads while minimizing cost.
Amazon S3 (Simple Storage Service),"“Infinite” object storage; store and retrieve large amounts of data, with multiple storage classes for different use cases."
"Snow Family (Snowball, Snowcone, Snowmobile)","Physical devices for data migration (petabyte-scale) and edge computing when network transfer is slow, limited, or offline."
AWS Storage Gateway,"Hybrid storage service bridging on-premises data and the AWS cloud; provides file, volume, or tape-based integration with S3."
Amazon RDS (Relational Database Service),"Managed relational database service (MySQL, PostgreSQL, MariaDB, Oracle, SQL Server) with automatic patching, backups, and scaling options."
Amazon Aurora,"High-performance, highly scalable, and fully managed relational database compatible with MySQL and PostgreSQL; offers better throughput than standard RDS engines."
Amazon ElastiCache,Managed in-memory data stores (Redis or Memcached) to boost performance by caching frequently accessed data.
Amazon DynamoDB,"Fully managed, serverless NoSQL key-value database; scales to massive workloads with high performance."
Amazon Redshift,"Managed, petabyte-scale data warehouse solution for online analytical processing (OLAP)."
Amazon EMR (Elastic MapReduce),"Managed big data framework (Hadoop, Spark, etc.) to process vast amounts of data quickly at scale on EC2 clusters."
Amazon Athena,Serverless service to run SQL queries on data stored in S3; pay only for scanned data.
Amazon QuickSight,"Business intelligence (BI) service for building interactive dashboards and visualizations, powered by serverless architecture."
Amazon DocumentDB,"Managed, scalable document database compatible with MongoDB; stores JSON-like documents."
Amazon Neptune,"Managed, highly available graph database, ideal for applications working with heavily interconnected data (e.g., social networks)."
Amazon Timestream,Serverless time-series database for IoT or operational data; designed for efficient real-time and historical data analysis.
Amazon QLDB (Quantum Ledger DB),"Immutable, cryptographically verifiable ledger service for tracking changes in data over time, often used for financial transactions."
Amazon Managed Blockchain,"Managed service to create and manage scalable blockchain networks, supporting Ethereum or Hyperledger Fabric."
AWS Glue,"Serverless data integration (ETL) service to discover, prepare, combine, and move data for analytics."
